file,mse,TP,FP,FN,TN,parameters,threshold_parameters,no_of_anomalies,first_label,length,first_label_ratio
speed_t4013.csv,29.969152,2.0,0.0,0.0,2245.0,lstmWeight=0.2;cnnWeight=0.8;lstmCells=10;LSTMDL1units=20;LSTML2units=10;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=10;CNNDL3units=1;epochs=12;batch_size=1;training_ratio=0.1125;sequance_length=60,comparision_window_size=10;threshold_max_multipler=2;training_ratio=0.0425507900677;,2.0,2085.0,2495.0,0.836
Twitter_volume_AAPL.csv,63926.271371,4.0,244.0,0.0,14070.0,lstmWeight=0.1;cnnWeight=0.5;lstmCells=10;LSTMDL1units=20;LSTML2units=10;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=10;CNNDL3units=1;epochs=12;batch_size=1;training_ratio=0.055575;sequance_length=60,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0196417870697;,4.0,1236.0,15902.0,0.078
Twitter_volume_AMZN.csv,684.714907,2.0,0.0,2.0,14251.0,lstmWeight=0.8;cnnWeight=0.3;lstmCells=10;LSTMDL1units=20;LSTML2units=10;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=10;CNNDL3units=1;epochs=14;batch_size=1;training_ratio=0.08122499999999999;sequance_length=60,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0294926440258;,4.0,1797.0,15831.0,0.114
Twitter_volume_CRM.csv,17.046989,3.0,17.0,0.0,14292.0,lstmWeight=0.6;cnnWeight=0.2;lstmCells=4;LSTMDL1units=20;LSTML2units=10;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=10;CNNDL3units=1;epochs=14;batch_size=1;training_ratio=0.1125;sequance_length=60,comparision_window_size=15;threshold_max_multipler=2;training_ratio=0.0423196825847;,3.0,2873.0,15902.0,0.181
Twitter_volume_CVS.csv,1.242479,3.0,4.0,0.0,14323.0,lstmWeight=0.1;cnnWeight=0.3;lstmCells=5;LSTMDL1units=10;LSTML2units=5;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=10;CNNDL2units=5;CNNDL3units=1;epochs=12;batch_size=1;training_ratio=0.06555;sequance_length=60,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0233562845957;,3.0,1463.0,15853.0,0.092
Twitter_volume_FB.csv,254.154725,2.0,46.0,0.0,14205.0,lstmWeight=0.5;cnnWeight=0.1;lstmCells=5;LSTMDL1units=10;LSTML2units=5;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=10;CNNDL2units=5;CNNDL3units=1;epochs=12;batch_size=1;training_ratio=0.1125;sequance_length=60,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0422680045545;,2.0,4615.0,15833.0,0.29100000000000004
Twitter_volume_GOOG.csv,195.014005,2.0,2.0,1.0,14408.0,lstmWeight=0.6;cnnWeight=0.1;lstmCells=5;LSTMDL1units=10;LSTML2units=5;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=10;CNNDL2units=5;CNNDL3units=1;epochs=12;batch_size=1;training_ratio=0.1125;sequance_length=60,comparision_window_size=10;threshold_max_multipler=2;training_ratio=0.0422688477952;,3.0,4107.0,15842.0,0.259
Twitter_volume_IBM.csv,23.955723000000006,2.0,35.0,0.0,14268.0,lstmWeight=0.1;cnnWeight=0.2;lstmCells=10;LSTMDL1units=20;LSTML2units=5;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=12;batch_size=1;training_ratio=0.1125;sequance_length=60,comparision_window_size=10;threshold_max_multipler=2;training_ratio=0.0423188714022;,2.0,6813.0,15893.0,0.429
Twitter_volume_KO.csv,609.2753610000002,3.0,64.0,0.0,14200.0,lstmWeight=0.2;cnnWeight=0.1;lstmCells=10;LSTMDL1units=20;LSTML2units=5;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=5;CNNDL3units=1;epochs=12;batch_size=1;training_ratio=0.1125;sequance_length=20,comparision_window_size=10;threshold_max_multipler=2;training_ratio=0.0422696900768;,3.0,5971.0,15851.0,0.377
Twitter_volume_PFE.csv,2.171877,4.0,2010.0,0.0,12260.0,lstmWeight=0.5;cnnWeight=0.1;lstmCells=4;LSTMDL1units=20;LSTML2units=10;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=10;CNNDL3units=1;epochs=12;batch_size=1;training_ratio=0.042749999999999996;sequance_length=200,comparision_window_size=50;threshold_max_multipler=2;training_ratio=0.0148870298399;,4.0,951.0,15858.0,0.06
Twitter_volume_UPS.csv,510.009221,5.0,7535.0,0.0,6746.0,lstmWeight=0.2;cnnWeight=0.1;lstmCells=5;LSTMDL1units=20;LSTML2units=10;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=10;CNNDL3units=1;epochs=12;batch_size=1;training_ratio=0.0463125;sequance_length=200,comparision_window_size=50;threshold_max_multipler=2;training_ratio=0.0161908538197;,5.0,1028.0,15866.0,0.065
