file,mse,parameters,
ec2_network_in_257a54.csv,48129735542254.414,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
ec2_network_in_5abac7.csv,2012362877550.3071,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
elb_request_count_8c0756.csv,3230.977454,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
grok_asg_anomaly.csv,5.605188,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,7662974627977.888,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
rds_cpu_utilization_cc0c53.csv,0.812899,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
rds_cpu_utilization_e47b3b.csv,3.596453,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
exchange-2_cpc_results.csv,0.001017,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
exchange-2_cpm_results.csv,0.015856,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
exchange-3_cpc_results.csv,0.008736,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
exchange-3_cpm_results.csv,0.112513,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
exchange-4_cpc_results.csv,0.019203,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
exchange-4_cpm_results.csv,0.626524,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
ambient_temperature_system_failure.csv,3.101188,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
cpu_utilization_asg_misconfiguration.csv,151.222947,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
ec2_request_latency_system_failure.csv,5.8678,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
machine_temperature_system_failure.csv,5.295794,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
nyc_taxi.csv,15166687.341905,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
rogue_agent_key_hold.csv,0.003691,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
rogue_agent_key_updown.csv,33.650341,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
TravelTime_387.csv,149534.681013,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
TravelTime_451.csv,103932.443817,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
occupancy_6005.csv,7.353294,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
occupancy_t4013.csv,12.149139,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
speed_6005.csv,84.407418,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
speed_7578.csv,97.158479,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
speed_t4013.csv,43.894705,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
Twitter_volume_AAPL.csv,74633.645206,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
Twitter_volume_AMZN.csv,738.294856,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
Twitter_volume_CRM.csv,17.266882,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
Twitter_volume_CVS.csv,1.208876,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
Twitter_volume_FB.csv,289.954457,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
Twitter_volume_GOOG.csv,215.82443,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
Twitter_volume_IBM.csv,26.102721,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
Twitter_volume_KO.csv,619.418837,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
Twitter_volume_PFE.csv,1.838484,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
Twitter_volume_UPS.csv,436.132989,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
